id,c_claveunidad,nombre,descripcion,nota,fecha_de_inicio_de_vigencia,fecha_de_fin_de_vigencia,simbolo
catalogos_clave_unidad21,71,Voltios amperios por libra,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad22,72,Vatio por libra,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad23,73,Amperios por centímetro,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad24,76,Gauss,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,2017-07-26,,Gs
catalogos_clave_unidad25,77,Kilogauss,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,2017-07-26,,Ks
catalogos_clave_unidad26,84,Kilopound-force por pulgada cuadrada,"Unidad de presión que define el número de kilopounds fuerza por pulgada cuadrada. 

Utilice kip por pulgada cuadrada (código común N20).",Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,2017-07-26,,Klbf / in²
catalogos_clave_unidad27,90,Saybold segundo universal,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad28,92,Calorías por centímetro cúbico,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad29,93,Calorías por gramo,Utilice calorías de la tabla internacional (IT) por gramo (código común D75).,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,Cal / g
catalogos_clave_unidad30,94,Unidad de curl,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad31,95,Veinte mil galones,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad32,96,Diez mil galones (US),,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad33,97,Diez kilos de tambor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad34,98,Quince kilos de tambor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad35,5,Ascensor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad36,6,Pequeño aerosol,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad37,8,Montón de calor,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad38,10,Grupos,Una unidad de conteo que define el número de grupos (grupo: conjunto de elementos clasificados juntos).,,2017-01-01,,
catalogos_clave_unidad39,11,Equipos, Unidad de recuento que define el número de equipos (equipo: un conjunto completo de equipo / materiales / objetos utilizados para un propósito específico).,,2017-01-01,,
catalogos_clave_unidad40,13,Raciones,Una unidad de recuento para definir el número de raciones (ración: una sola porción de las disposiciones).,,2017-01-01,,
catalogos_clave_unidad41,14,Shot,Unidad de medida para liquidos.,,2017-01-01,,
catalogos_clave_unidad42,15,"Palo, medida militar.",Unidad para el momento de rotación relacionado con la longitud según el sistema de unidades Anglo-Americanas e Imperial.,,2017-01-01,,
catalogos_clave_unidad43,16,Tambor de 115 kilogramos,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad44,17,Tambor de cien libras,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad45,1A,Milla de carros,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad46,1B,Recuento de automóviles,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad47,1C,Conteo de locomotoras,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad48,1D,Caboose count,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad49,1E,Coche vacío,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad50,1F,Milla de tren,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad51,1G,Galón del uso del combustible (los EUA),,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad52,1H,Milla de caboose,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad53,1I, Tipo de interés fijo, Unidad de cantidad expresada como una tasa predeterminada o conjunto para el uso de una instalación o servicio.,,2017-01-01,,
catalogos_clave_unidad54,1J,Tonelada milla,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad55,1K,Milla locomotora,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad56,1L,Recuento total de automóviles,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad57,1M,Milla total del coche,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad58,1X,Cuarto de milla,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad59,20, Contenedores de veinte pies, Unidad de conteo que define el número de contenedores de transporte que miden 20 pies de longitud.,,2017-01-01,,
catalogos_clave_unidad60,21, Contenedor de cuarenta pies, Unidad de conteo que define el número de contenedores de transporte que miden 40 pies de longitud.,,2017-01-01,,
catalogos_clave_unidad61,22,Decilitro por gramo,,,2017-01-01,,dl/g
catalogos_clave_unidad62,23,Gramo por centímetro cúbico,,,2017-01-01,,g/cm³
catalogos_clave_unidad63,24,Libra teórica, Unidad de masa que define la masa esperada de material expresado como el número de libras.,,2017-01-01,,
catalogos_clave_unidad64,25,Gramo por centímetro cuadrado,,,2017-01-01,,g/cm²
catalogos_clave_unidad65,27,Tonelada teórica,"Unidad de masa que define la masa esperada de material, expresada como el número de toneladas.",,2017-01-01,,
catalogos_clave_unidad66,28,Kilogramo por metro cuadrado,,,2017-01-01,,kg/m²
catalogos_clave_unidad67,2A,Radián por segundo,"Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián. ",,2017-01-01,,rad/s
catalogos_clave_unidad68,2B,Radián por segundo cuadrado,"Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo. ",,2017-01-01,,rad/s²
catalogos_clave_unidad69,2C,Roentgen,,,2017-01-01,,R
catalogos_clave_unidad70,2G,Voltios CA, Una unidad de potencial eléctrico en relación a la corriente alterna (CA).,,2017-01-01,,V
catalogos_clave_unidad71,2H,Voltios CD,Unidad de potencial eléctrico en relación con corriente directa (CD).,,2017-01-01,,V
catalogos_clave_unidad72,2I,Unidad térmica británica (tabla internacional) por hora,,,2017-01-01,,BtuIT/h
catalogos_clave_unidad73,2J,Centímetro cúbico por segundo,,,2017-01-01,,cm³/s
catalogos_clave_unidad74,2K,Pie cúbico por hora,,,2017-01-01,,ft³/h
catalogos_clave_unidad75,2L,Pie cúbico por minuto,,,2017-01-01,,ft³/min
catalogos_clave_unidad76,2M,Centímetro por segundo,,,2017-01-01,,cm/s
catalogos_clave_unidad77,2N,Decibel,Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel.,,2017-01-01,,dB
catalogos_clave_unidad78,2P,Kilobyte, Unidad de información igual a 10 ³  (1000) bytes.,,2017-01-01,,kbyte
catalogos_clave_unidad79,2Q,Kilobecquerel,,,2017-01-01,,kBq
catalogos_clave_unidad80,2R,Kilocurie,,,2017-01-01,,kCi
catalogos_clave_unidad81,2U,Megagramo,,,2017-01-01,,Mg
catalogos_clave_unidad82,2V,Megagrama por hora,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,Mg / h
catalogos_clave_unidad83,2X,Metro por minuto,,,2017-01-01,,m/min
catalogos_clave_unidad84,2Y,Milliroentgen,,,2017-01-01,,mR
catalogos_clave_unidad85,2Z,Milivoltio,,,2017-01-01,,mV
catalogos_clave_unidad86,33,Kilopascal por grtr,,,2017-01-01,,kPa·m²/g
catalogos_clave_unidad87,34,Kilopascal por milimetro,,,2017-01-01,,kPa/mm
catalogos_clave_unidad88,35,Milimetro por un segundo centimetro cuadrado,,,2017-01-01,,ml/(cm²·s)
catalogos_clave_unidad89,37,Onza por pie cuadrado,,,2017-01-01,,oz/ft²
catalogos_clave_unidad90,38,"Onzas por pie cuadrado por 0,01 pulgadas",,,2017-01-01,,oz/(ft²/cin)
catalogos_clave_unidad91,3B,Megajoule,,,2017-01-01,,MJ
catalogos_clave_unidad92,3C,Manmonth,Unidad de cuenta que define el número de meses que una persona o personas pueden desempeñar alguna actividad.,,2017-01-01,,
catalogos_clave_unidad93,3E,Libra por libra de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad94,3G,Libra por pieza de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad95,3H,Kilogramo por kilogramo de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad96,3I,Kilogramo por pedazo de producto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad97,40,Mililitro por segundo,,,2017-01-01,,ml/s
catalogos_clave_unidad98,41,Mililitro por minuto,,,2017-01-01,,ml/min
catalogos_clave_unidad99,4B,Gorra,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad100,4C,Centistokes,,,2017-01-01,,cSt
catalogos_clave_unidad101,4E,Veinte pack,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad102,4G,Microlitro,,,2017-01-01,,µl
catalogos_clave_unidad103,4H,Micra,"El micrómetro, micrón o micra es una unidad de longitud equivalente a una milésima parte de un milímetro.",,2017-01-01,,µm
catalogos_clave_unidad104,4K,Miliamperio,,,2017-01-01,,mA
catalogos_clave_unidad105,4L,Megabyte,Unidad que se usa para cuantificar un caudal de datos equivalente a 1000 kb/s.,,2017-01-01,,Mbyte
catalogos_clave_unidad106,4M,Miligramo por hora,,,2017-01-01,,mg/h
catalogos_clave_unidad107,4N,Megabequerel,,,2017-01-01,,MBq
catalogos_clave_unidad108,4O,Microfaradio,,,2017-01-01,,µF
catalogos_clave_unidad109,4P,Newton por metro,,,2017-01-01,,N/m
catalogos_clave_unidad110,4Q,Onza pulgada,,,2017-01-01,,oz·in
catalogos_clave_unidad111,4R,Onza pie,,,2017-01-01,,oz·ft
catalogos_clave_unidad112,4T,Picofaradio,,,2017-01-01,,pF
catalogos_clave_unidad113,4U,Libra por hora,,,2017-01-01,,lb/h
catalogos_clave_unidad114,4W,Tonelada (EUA) por hora,,,2017-01-01,,ton (US) /h
catalogos_clave_unidad115,4X,Kilolitro por hora,,,2017-01-01,,kl/h
catalogos_clave_unidad116,56,Sitas, Unidad de área de placa de estaño igual a un área de superficie de 100 metros cuadrados.,,2017-01-01,,
catalogos_clave_unidad117,57,Malla,Una unidad de recuento de definir el número de hebras por pulgada como una medida de la finura de un producto tejido.,,2017-01-01,,
catalogos_clave_unidad118,58, kilogramo neto,Unidad de masa que define el número total de kilogramos después de las deducciones.,,2017-01-01,,
catalogos_clave_unidad119,59,Parte por millón, Una unidad de proporción igual a 10⁻⁶.,,2017-01-01,,ppm
catalogos_clave_unidad120,5A,Barril por minuto,,,2017-01-01,,barrel (US)/min
catalogos_clave_unidad121,5B,Batch,Unidad de conteo que define el número de lotes (lote: cantidad de material producido en una operación o número de animales o personas que vienen a la vez).,,2017-01-01,,
catalogos_clave_unidad122,5C,Galón (US) por mil,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad123,5E,Mmscf/day,"Unidad de volumen equivalente a un millón (1,000,000) pies cúbicos de gas por día.",,2017-01-01,,
catalogos_clave_unidad124,5F,Libra por mil,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad125,5G,bomba,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad126,5H,Escenario,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad127,5I,Pies cúbicos estándar,Utilice estándar (código común WSD),"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,Std
catalogos_clave_unidad128,5J,Caballos de potencia hidráulica,Unidad de potencia de la definición de los caballos de potencia hidráulica suministrada por una bomba de fluido dependiendo de la viscosidad del fluido.,,2017-01-01,,
catalogos_clave_unidad129,5K,Contar por minuto,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad130,5P,Nivel sísmico,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad131,5Q,Línea sísmica,,"Las unidades marcadas como borradas en el catálogo internacional de UNECE, serán retenidas indefinidamente en las listas de códigos. En su caso, estas unidades podrán ser reinstalado a través del proceso de mantenimiento.",2017-07-26,,
catalogos_clave_unidad132,60,Tanto por ciento en peso,Una unidad de proporción igual a 10⁻².,,2017-01-01,,
catalogos_clave_unidad133,61,Parte por mil millones (EUA),Una unidad de proporción igual a 10⁻⁹.,,2017-01-01,,ppb
catalogos_clave_unidad134,74,Milipascal,,,2017-01-01,,mPa
catalogos_clave_unidad135,77,Mili-pulgada,,,2017-01-01,,mil
catalogos_clave_unidad136,80,Libra por pulgada cuadrado absoluta,,,2017-01-01,,lb/in²
catalogos_clave_unidad137,81,Henry,"Un henry es la unidad para la inductancia eléctrica en el Sistema Internacional de Unidades. Es la inductancia eléctrica de un circuito cerrado en el que se produce una fuerza electromotriz de 1 voltio, cuando la corriente eléctrica que recorre el circuito varía uniformemente a razón de un amperio por segundo.",,2017-01-01,,H
catalogos_clave_unidad138,85,Pie libra-fuerza,,,2017-01-01,,ft·lbf
catalogos_clave_unidad139,87,Libra por pie cúbico,,,2017-01-01,,lb/ft³
catalogos_clave_unidad140,89,Poise,El poise (símbolo: P) es la unidad de viscosidad dinámica del sistema cegesimal de unidades.,,2017-01-01,,P
catalogos_clave_unidad141,91,Stokes,El Stokes es la unidad de viscosidad cinemática en el Sistema Cegesimal de Unidades,,2017-01-01,,St
catalogos_clave_unidad142,A1,15 ° C calorías,,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,2017-07-26,,Cal $ _ $
catalogos_clave_unidad143,A10,Amperio por metro cuadrado por joule segundo,,,2017-01-01,,A·m²/(J·s)
catalogos_clave_unidad144,A11,Ángstrom,"El ángstrom es una unidad de longitud empleada principalmente para expresar longitudes de onda, distancias moleculares y atómicas, etc.",,2017-01-01,,Å
catalogos_clave_unidad145,A12,Unidad astronómica,"Es una unidad de longitud igual por definición a 149 597 870 700 metros, y que equivale aproximadamente a la distancia media entre el planeta Tierra y el Sol.",,2017-01-01,,ua
catalogos_clave_unidad146,A13,Attojoule," Una unidad SI de la energía, el trabajo, y el calor igual a 10 -18 joules",,2017-01-01,,aJ
catalogos_clave_unidad147,A14,Barn,"Es una unidad de superficie, equivalente a 10-28 m² (100 femtómetros cuadrados). Sus múltiplos son muy utilizados en física de partículas para medir las secciones eficaces en reacciones nucleares, y sus inversos para medir luminosidades.",,2017-01-01,,b
catalogos_clave_unidad148,A15,Barn por electrovoltio,,,2017-01-01,,b/eV
catalogos_clave_unidad149,A16,Barn por electrovoltio ,,,2017-01-01,,b/(sr·eV)
catalogos_clave_unidad150,A17,Barn por esteroradian,,,2017-01-01,,b/sr
catalogos_clave_unidad151,A18,Becquerel por kilogramo,,,2017-01-01,,Bq/kg
catalogos_clave_unidad152,A19,Becquerel por metro cúbico,,,2017-01-01,,Bq/m³
catalogos_clave_unidad153,A2,Amperio por centímetro,,,2017-01-01,,A/cm
catalogos_clave_unidad154,A20,Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.,,,2017-01-01,,BtuIT/(s·ft²·°R)
catalogos_clave_unidad155,A21,Unidad térmica británica (tabla internacional) por libra grado rankine,,,2017-01-01,,Btu/IT(lb·°R)
catalogos_clave_unidad156,A22,Unidad térmica británica (tabla internacional) por segundo pie grado rankine,,,2017-01-01,,BtuIT/(s·ft·°R)
catalogos_clave_unidad157,A23,Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.,,,2017-01-01,,BtuIT/(h·ft²·°R)
catalogos_clave_unidad158,A24,Candela por metro cuadrado,,,2017-01-01,,cd/m²
catalogos_clave_unidad159,A25,Caballo de vapor,Sinónimo: Caballo de fuerza métrico,Unidades no recomendadas para su uso por la Oficina Internacional de Pesos y Medidas (BIPM) con sede en Francia.,2017-07-26,,CV
catalogos_clave_unidad160,A26,Culombio metro,,,2017-01-01,,C·m
catalogos_clave_unidad161,A27,Culombio metro cuadrado por voltio,,,2017-01-01,,C·m²/V
catalogos_clave_unidad162,A28,Culombio por centímetro cúbico,,,2017-01-01,,C/cm³
catalogos_clave_unidad163,A29,Culombio por metro cúbico,,,2017-01-01,,C/m³
catalogos_clave_unidad164,A3,Amperio por milímetro,,,2017-01-01,,A/mm
catalogos_clave_unidad165,A30,Culombio por milimetro cúbico,,,2017-01-01,,C/mm³
catalogos_clave_unidad166,A31,Culombio por kilogramo-segundo,,,2017-01-01,,C/(kg·s)
catalogos_clave_unidad167,A32,Culombio por Mol,,,2017-01-01,,C/mol
catalogos_clave_unidad168,A33,Culombio por centímetro cuadrado,,,2017-01-01,,C/cm²
catalogos_clave_unidad169,A34,Culombio por metro cuadrado,,,2017-01-01,,C/m²
